feature,max_lift,min_lift,lift_spread,max_bucket_n
time_minutes_since_open,1.3211,0.673,0.6481,640
trend_5m,1.2516,0.6092,0.6424,1009
opt_atm_iv,1.4782,0.8432,0.635,555
vol_india_vix,1.2808,0.7008,0.58,645
sr_dist_to_yday_low,1.3583,0.9285,0.4298,631
trend_1h,1.2556,0.8896,0.366,1602
expiry_dte,1.1852,0.8872,0.298,926
mom_rsi_14,1.0904,0.8388,0.2516,634
opt_atm_oi_change_5m,1.2034,0.9721,0.2313,559
sr_dist_to_yday_high,1.2167,0.9929,0.2238,790
vwap_distance,1.1431,0.9212,0.2219,635
opt_pcr_oi,1.1865,0.9703,0.2162,559
trend_1m,1.0701,0.8909,0.1792,951
vol_atr_pct,1.0736,0.9044,0.1692,635
trend_1d,1.0084,0.9823,0.0261,1727
