timestamp,spot_feat,vol_india_vix,expiry_dte,prob_wont_crash_60,prob_wont_rip_60,actual_wont_crash_60,actual_wont_rip_60,fire_reason
2026-05-14 11:31:00.000241,23578.45,18.65,5.0,0.116751269035533,0.7057239057239059,TRUE,FALSE,RIP_ONLY
2026-05-14 11:32:00.000934,23586.7,18.66,5.0,0.116751269035533,0.7632586401537628,TRUE,FALSE,RIP_ONLY
2026-05-14 11:33:00.000929,23585.7,18.73,5.0,0.116751269035533,0.8686868686868686,TRUE,FALSE,RIP_ONLY
2026-05-14 11:35:00.002321,23605.3,18.69,5.0,0.116751269035533,0.7057239057239059,TRUE,FALSE,RIP_ONLY
2026-05-14 11:37:00.000230,23614.65,18.64,5.0,0.116751269035533,0.7390572390572391,TRUE,FALSE,RIP_ONLY
2026-05-14 11:40:00.001822,23629.15,18.66,5.0,0.116751269035533,0.7057239057239059,TRUE,FALSE,RIP_ONLY
2026-05-14 11:41:00.001126,23627.45,18.64,5.0,0.116751269035533,0.7390572390572391,TRUE,FALSE,RIP_ONLY
2026-05-14 11:52:00.014100,23689.4,18.93,5.0,0.2168406345404481,0.8686868686868686,FALSE,TRUE,RIP_ONLY
2026-05-14 12:06:00.000180,23654.95,18.97,5.0,0.2668406345404481,0.702020202020202,TRUE,FALSE,RIP_ONLY
2026-05-14 12:16:00.000167,23675.85,18.94,5.0,0.2668406345404481,0.8020202020202021,TRUE,FALSE,RIP_ONLY
2026-05-14 12:37:00.014355,23686.1,18.92,5.0,0.16675126903553297,0.7222607126954855,TRUE,FALSE,RIP_ONLY
2026-05-14 12:41:00.013191,23678.35,18.89,5.0,0.24858666628647985,0.7043190525949147,TRUE,FALSE,RIP_ONLY
2026-05-14 12:43:00.013970,23683.5,18.87,5.0,0.2555803228377396,0.7376523859282479,TRUE,FALSE,RIP_ONLY
2026-05-14 12:44:00.012063,23684.8,18.85,5.0,0.2668406345404481,0.721318447634237,TRUE,FALSE,RIP_ONLY
2026-05-14 12:51:00.012685,23700.95,18.83,5.0,0.2668406345404481,0.721318447634237,TRUE,FALSE,RIP_ONLY
2026-05-14 12:52:00.016862,23693.2,18.87,5.0,0.2668406345404481,0.721318447634237,TRUE,FALSE,RIP_ONLY
2026-05-14 13:47:00.016557,23744.85,18.82,5.0,0.2668406345404481,0.7390572390572391,FALSE,FALSE,RIP_ONLY
2026-05-14 13:50:00.015544,23740.9,18.87,5.0,0.2287033297195059,0.7619479733817301,FALSE,FALSE,RIP_ONLY
2026-05-14 13:52:00.020400,23742.45,18.87,5.0,0.16675126903553297,0.7619479733817301,FALSE,FALSE,RIP_ONLY
2026-05-14 14:09:00.015788,23757.65,18.77,5.0,0.2668406345404481,0.7517097963847353,FALSE,TRUE,RIP_ONLY
2026-05-14 14:11:00.012554,23755.9,18.74,5.0,0.2668406345404481,0.7057239057239059,FALSE,TRUE,RIP_ONLY
2026-05-14 14:12:00.016930,23759.75,18.73,5.0,0.2668406345404481,0.7390572390572391,FALSE,TRUE,RIP_ONLY
2026-05-14 14:13:00.013742,23751.95,18.73,5.0,0.16675126903553297,0.7376523859282479,FALSE,TRUE,RIP_ONLY
2026-05-14 14:14:00.012744,23749.65,18.7,5.0,0.16675126903553297,0.7286146400483968,FALSE,FALSE,RIP_ONLY
2026-05-14 14:16:00.015642,23752.75,18.71,5.0,0.2668406345404481,0.721318447634237,FALSE,TRUE,RIP_ONLY
2026-05-14 14:17:00.021689,23754.5,18.71,5.0,0.2668406345404481,0.7390572390572391,FALSE,TRUE,RIP_ONLY
2026-05-14 14:18:00.011193,23750.3,18.69,5.0,0.16675126903553297,0.712280701754386,FALSE,TRUE,RIP_ONLY
2026-05-14 14:19:00.021554,23750.25,18.7,5.0,0.16675126903553297,0.7709857192615813,FALSE,TRUE,RIP_ONLY
2026-05-14 14:22:00.014274,23737.9,18.73,5.0,0.27517396787378146,0.7709857192615813,FALSE,FALSE,RIP_ONLY
2026-05-14 14:24:00.014127,23735.9,18.73,5.0,0.27517396787378146,0.7546517809675705,FALSE,FALSE,RIP_ONLY
2026-05-14 14:25:00.025549,23740.2,18.71,5.0,0.27517396787378146,0.712280701754386,FALSE,FALSE,RIP_ONLY
2026-05-15 09:55:00.015268,23823.15,18.42,4.0,0.2168406345404481,0.7376523859282479,FALSE,TRUE,RIP_ONLY
2026-05-15 09:56:00.015626,23830.0,18.4,4.0,0.2168406345404481,0.7546517809675705,FALSE,TRUE,RIP_ONLY
2026-05-15 09:57:00.016750,23832.6,18.39,4.0,0.2168406345404481,0.7546517809675705,FALSE,TRUE,RIP_ONLY
2026-05-15 09:58:00.011784,23834.35,18.37,4.0,0.2168406345404481,0.7546517809675705,FALSE,TRUE,RIP_ONLY
2026-05-15 10:26:00.014261,23824.75,18.37,4.0,0.2168406345404481,0.7456140350877193,FALSE,TRUE,RIP_ONLY
2026-05-15 10:27:00.014000,23825.55,18.38,4.0,0.2168406345404481,0.7546517809675705,FALSE,TRUE,RIP_ONLY
2026-05-15 10:28:00.035392,23828.0,18.38,4.0,0.2168406345404481,0.7619479733817301,FALSE,TRUE,RIP_ONLY
2026-05-15 10:29:00.017189,23828.5,18.35,4.0,0.2168406345404481,0.7619479733817301,FALSE,TRUE,RIP_ONLY
2026-05-15 10:30:00.031400,23828.15,18.36,4.0,0.2168406345404481,0.7456140350877193,FALSE,TRUE,RIP_ONLY
2026-05-15 10:46:00.016502,23828.9,18.32,4.0,0.2168406345404481,0.7456140350877193,FALSE,TRUE,RIP_ONLY
2026-05-15 10:47:00.020729,23827.0,18.34,4.0,0.2168406345404481,0.7456140350877193,FALSE,TRUE,RIP_ONLY
2026-05-15 10:49:00.016354,23828.0,18.35,4.0,0.2168406345404481,0.7456140350877193,FALSE,TRUE,RIP_ONLY
2026-05-15 10:51:00.022118,23830.55,18.31,4.0,0.2168406345404481,0.7456140350877193,FALSE,TRUE,RIP_ONLY
2026-05-15 10:52:00.015785,23835.9,18.28,4.0,0.2168406345404481,0.7619479733817301,FALSE,TRUE,RIP_ONLY
2026-05-15 10:53:00.016101,23833.45,18.32,4.0,0.2168406345404481,0.7619479733817301,FALSE,TRUE,RIP_ONLY
2026-05-15 10:55:00.017242,23830.45,18.28,4.0,0.2168406345404481,0.7619479733817301,FALSE,TRUE,RIP_ONLY
2026-05-15 10:56:00.012677,23829.7,18.28,4.0,0.116751269035533,0.7137132426342659,FALSE,TRUE,RIP_ONLY
2026-05-15 10:59:00.014960,23826.3,18.3,4.0,0.2168406345404481,0.7456140350877193,FALSE,TRUE,RIP_ONLY
2026-05-15 11:00:00.027609,23829.55,18.28,4.0,0.116751269035533,0.7619479733817301,FALSE,TRUE,RIP_ONLY
2026-05-15 11:01:00.018889,23825.25,18.3,4.0,0.2168406345404481,0.7456140350877193,FALSE,TRUE,RIP_ONLY
